timestamp,device_id,ssd_name,log_type,file_source,sm_spare,sm_crit,sm_mdie,sm_used,sm_pc,sm_poh,sm_wctt,sm_cctt,sm_reads,sm_writes,sm_rbytes,sm_wbytes,state,slot,sn,namespace_id,namespace_name,read_ops,read_bytes,read_misalign,write_ops,write_bytes,write_misalign,trim_ops,trim_bytes,trim_misalign,size,nsid
2022-05-06 18:53:10.981000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD10,HEALTH,2022-05-06T18:53:10.981+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1228.0,0.0,0.0,589898371.0,749378259.0,10906483200000.0,13680615936000.0,PS_QRUN,10.0,694S10OVTVDQ,,,,,,,,,,,,,
2022-05-06 18:53:10.981000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD6,HEALTH,2022-05-06T18:53:10.981+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,475.0,1232.0,0.0,0.0,588100361.0,748979513.0,10836225536000.0,13671864832000.0,PS_QRUN,6.0,694S10MCTVDQ,,,,,,,,,,,,,
2022-05-06 18:53:10.981000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD4,HEALTH,2022-05-06T18:53:10.981+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,477.0,1231.0,0.0,0.0,590286262.0,749370264.0,10907924480000.0,13680468480000.0,PS_QRUN,4.0,694S10N2TVDQ,,,,,,,,,,,,,
2022-05-06 18:53:10.981000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD3,HEALTH,2022-05-06T18:53:10.981+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1232.0,0.0,0.0,589693176.0,749331644.0,10903812608000.0,13680457728000.0,PS_QRUN,3.0,694S10N3TVDQ,,,,,,,,,,,,,
2022-05-06 18:53:10.981000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD7,HEALTH,2022-05-06T18:53:10.981+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1232.0,0.0,0.0,590005320.0,750672716.0,10907851264000.0,13686475776000.0,PS_QRUN,7.0,694S1085TVDQ,,,,,,,,,,,,,
2022-05-06 18:53:11.086000+00:00,E3A69807276C300C-BC7F54-B514050000,,NAMESPACE_STATS,2022-05-06T18:53:11.086+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,,,,,,,,,,,,,,,,3A4C1708276C300C-BC7F54-C306FB0900,Photos,5623.0,55160832.0,161697792.0,11740.0,1250701312.0,342446080.0,5275302.0,1381419642880.0,141561856.0,2000000000000.0,2.0
2022-05-06 18:53:11.086000+00:00,E3A69807276C300C-BC7F54-B514050000,,NAMESPACE_STATS,2022-05-06T18:53:11.086+00:00_E3A69807276C300C-BC7F54-B514050000_1651863190_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,,,,,,,,,,,,,,,,3A4C1708276C300C-BC7F54-9502F90900,Virtual Machines,104352.0,2644901888.0,3016130560.0,315797.0,79811883008.0,10302017536.0,973073.0,253937975296.0,109608960.0,1000000000000.0,1.0
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD6,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,476.0,1233.0,0.0,0.0,588100926.0,748980556.0,10836239360000.0,13671881728000.0,PS_QRUN,6.0,694S10MCTVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD9,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,479.0,1233.0,0.0,0.0,592386926.0,750740467.0,10918219776000.0,13686840832000.0,PS_QRUN,9.0,694S10L6TVDQ,,,,,,,,,,,,,
2022-05-06 20:08:57.339000+00:00,E3A69807276C300C-BC7F54-B514050000,SSD11,HEALTH,2022-05-06T20:08:57.339+00:00_E3A69807276C300C-BC7F54-B514050000_1651867737_E3A69807276C300C-BC7F54-B514050000_icsn_E3A69807276C300C-BC7F54-B514050000.json,100.0,0.0,0.0,14.0,478.0,1232.0,0.0,0.0,590085449.0,749322978.0,10905517056000.0,13680274944000.0,PS_QRUN,11.0,694S10OUTVDQ,,,,,,,,,,,,,
